SS0100,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0200,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0201,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS0202,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0203,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0298,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0299,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS0300,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0400,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0401,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS0402,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0403,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0498,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0499,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS0500,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0501,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS0502,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0504,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0508,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0509,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0598,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0599,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS0600,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0601,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS0602,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0603,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0604,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0608,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0609,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0698,duration,,,,,,,,CurrentYearNonConsolidatedDuration
SS0699,instant,credit,,,,,,,CurrentYearNonConsolidatedInstant
SS0700,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0800,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
SS0801,instant,credit,,,,,,,Prior1YearNonConsolidatedInstant
SS0802,duration,,title,,,,,,CurrentYearNonConsolidatedDuration
